[2026-08-13 00:24:49+00:00] ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 auth_rejected reason=incomplete_multifactor_auth uid=1
[2026-08-13 00:24:53+00:00] ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 login_page_accessed username_attempt=
[2026-08-13 00:24:55+00:00] ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 login_page_accessed username_attempt=admin
[2026-08-13 00:24:58+00:00] ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 login_attempt recorded user=admin success=1
[2026-08-13 00:24:58+00:00] ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 password_factor_success uid=1 ip=127.0.0.1
[2026-08-13 00:24:58+00:00] ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 school_id_verification_required uid=1
[2026-08-13 00:25:15+00:00] ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 login_success uid=1
[2026-08-13 00:25:15+00:00] ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 school_id_qr_success uid=1
[2026-08-13 00:25:17+00:00] ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 dashboard_access uid=1
[2026-08-13 00:29:28+00:00] ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 access_activity_viewed uid=1
[2026-08-13 00:29:34+00:00] ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 dashboard_access uid=1
[2026-08-13 00:30:23+00:00] ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 dashboard_access uid=1
[2026-08-13 00:34:51+00:00] ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 dashboard_access uid=1
[2026-08-13 00:39:37+00:00] ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 dashboard_access uid=1
[2026-08-13 00:45:04+00:00] ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 dashboard_access uid=1
[2026-08-13 00:48:13+00:00] ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 dashboard_access uid=1
[2026-08-13 00:48:35+00:00] ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_analytics_viewed uid=1
[2026-08-13 00:57:42+00:00] rid=9abc6c2e7efd ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 dashboard_access uid=1
[2026-08-13 00:58:51+00:00] rid=ffd3807de4c1 ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 dashboard_access uid=1
[2026-08-13 01:07:38+00:00] rid=4ba5cf1b9ce4 ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 logout uid=1
[2026-08-13 01:07:39+00:00] rid=8eb789140f62 ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 login_page_accessed username_attempt=
[2026-08-13 01:07:48+00:00] rid=8cf214a11c6c ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 session_expired reason=idle_timeout uid=1
[2026-08-13 01:07:48+00:00] rid=8cf214a11c6c ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 login_page_accessed username_attempt=
[2026-08-13 01:07:49+00:00] rid=f0457df129bb ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 reconnaissance_probe method=GET path=/favicon.ico uid=0
[2026-08-13 01:08:28+00:00] rid=72fcfc99f012 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 sensitive_path_probe method=GET path=/.env probe=environment_file uid=0
[2026-08-13 01:08:28+00:00] rid=72fcfc99f012 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 reconnaissance_probe method=GET path=/.env uid=0
[2026-08-13 01:08:36+00:00] rid=de62f9ffd375 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 sensitive_path_probe method=GET path=/.git/config probe=git_metadata uid=0
[2026-08-13 01:08:36+00:00] rid=de62f9ffd375 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 reconnaissance_probe method=GET path=/.git/config uid=0
[2026-08-13 01:08:42+00:00] rid=3ac786344924 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 sensitive_path_probe method=GET path=/backup.zip probe=sensitive_filename uid=0
[2026-08-13 01:08:42+00:00] rid=3ac786344924 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 reconnaissance_probe method=GET path=/backup.zip uid=0
[2026-08-13 01:08:48+00:00] rid=f7db51f6ad3f ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 reconnaissance_probe method=GET path=/random-admin-page uid=0
[2026-08-13 01:09:05+00:00] rid=89471167a5b9 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 login_page_accessed username_attempt=
[2026-08-13 01:09:39+00:00] rid=539ef3c8f021 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 login_page_accessed username_attempt=admin
[2026-08-13 01:09:42+00:00] rid=539ef3c8f021 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 login_attempt recorded user=admin success=1
[2026-08-13 01:09:42+00:00] rid=539ef3c8f021 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 password_factor_success uid=1 ip=::1
[2026-08-13 01:09:42+00:00] rid=539ef3c8f021 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 school_id_verification_required uid=1
[2026-08-13 01:10:02+00:00] rid=92c1838dd878 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 login_success uid=1
[2026-08-13 01:10:02+00:00] rid=92c1838dd878 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 school_id_qr_success uid=1
[2026-08-13 01:10:02+00:00] rid=9b6368bdc8d0 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 reconnaissance_probe method=GET path=/favicon.ico uid=1
[2026-08-13 01:10:05+00:00] rid=748b7211f332 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 dashboard_access uid=1
[2026-08-13 01:10:09+00:00] rid=0fe1444d1737 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 dashboard_access uid=1
[2026-08-13 01:13:04+00:00] rid=13b49195922e ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 dashboard_access uid=1
[2026-08-13 01:14:02+00:00] rid=868c148427b7 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 dashboard_access uid=1
[2026-08-13 01:14:10+00:00] rid=c6426c352701 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 access_activity_viewed uid=1
[2026-08-13 01:14:16+00:00] rid=4e95fd01f108 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_analytics_viewed uid=1
[2026-08-13 01:17:17+00:00] rid=b987997415f0 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 dashboard_access uid=1
[2026-08-13 01:31:12+00:00] rid=c69173e328a9 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_analytics_viewed uid=1
[2026-08-13 01:33:52+00:00] rid=24cc1e637e93 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_analytics_viewed uid=1
[2026-08-13 01:36:44+00:00] rid=4bc95d4309e9 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_analytics_viewed uid=1
[2026-08-13 01:43:57+00:00] rid=4ec53bbf9535 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_analytics_viewed uid=1
[2026-08-13 01:50:36+00:00] rid=fbaa0a0ab5a0 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_analytics_viewed uid=1
[2026-08-13 01:58:06+00:00] rid=fba37b5b9332 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_analytics_viewed uid=1
[2026-08-13 01:58:42+00:00] rid=6d0139b45579 ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_analytics_viewed uid=1
[2026-08-13 02:02:58+00:00] rid=bdabeb6f239c ip=::1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 security_analytics_viewed uid=1
