requests_1m,requests_5m,unique_paths_5m,post_ratio_5m,auth_endpoint_requests_5m,failed_logins_5m,failed_logins_15m,unique_usernames_15m,successful_logins_15m,qr_failures_15m,sensitive_path_probes_15m,suspicious_requests_15m,scanner_events_15m,csrf_failures_15m,method_anomalies_15m,auth_rejections_15m,ban_events_15m,avg_request_interval_5m,ua_changes_15m,off_hours,label
13,25,2,0.625494,21,5,35,8,0,0,0,0,0,0,0,12,0,11.239,3,1,CREDENTIAL_STUFFING
5,41,22,0.502727,6,1,1,2,0,0,0,4,0,5,0,5,0,2.08966,4,0,SESSION_ABUSE
9,36,1,0.819629,19,18,12,3,0,0,0,0,0,1,0,8,1,9.45881,0,1,BRUTE_FORCE
2,14,7,0.589843,5,0,2,4,0,1,1,10,0,1,0,1,0,9.71471,1,0,WEB_ATTACK
5,40,8,0.361503,9,1,2,2,0,0,1,5,1,1,1,1,1,2.24678,1,1,WEB_ATTACK
19,43,4,0.611657,36,8,20,14,1,0,0,0,0,0,0,7,1,3.7471,4,0,CREDENTIAL_STUFFING
8,20,35,0.101448,5,0,1,1,0,0,17,4,1,0,1,0,1,8.35489,0,1,RECONNAISSANCE
3,44,30,0.0933521,1,0,0,1,0,0,5,1,2,0,0,0,0,8.82614,3,0,RECONNAISSANCE
0,6,3,0.119482,1,1,1,1,1,0,0,0,0,0,0,0,0,15.7373,0,0,NORMAL
12,40,1,0.758235,33,15,12,3,0,0,1,0,0,0,0,15,0,0.907117,0,0,BRUTE_FORCE
6,49,20,0.207054,6,0,0,1,1,1,2,5,1,3,0,4,0,11.931,3,0,SESSION_ABUSE
3,29,4,0.889828,17,0,2,1,1,17,0,0,0,0,0,11,0,10.2151,0,1,MFA_ABUSE
5,28,7,0.728053,2,2,2,1,0,0,4,13,1,0,0,6,0,5.86572,0,0,WEB_ATTACK
10,39,21,0.175945,5,0,0,1,0,0,15,3,3,0,0,1,0,8.27725,3,0,RECONNAISSANCE
15,64,2,0.970212,18,10,17,3,0,0,0,0,0,0,0,13,1,7.69228,0,0,BRUTE_FORCE
11,53,4,0.875512,29,18,45,3,0,0,0,0,0,1,0,16,0,7.68864,1,0,BRUTE_FORCE
19,57,3,0.790241,20,15,15,1,0,0,0,0,0,0,0,10,0,8.45867,0,1,BRUTE_FORCE
8,36,1,0.669047,38,13,37,3,0,0,0,0,0,0,0,12,1,9.95358,0,0,BRUTE_FORCE
8,24,5,0.737925,22,1,2,1,1,15,0,0,0,0,0,3,0,4.73096,0,0,MFA_ABUSE
2,9,4,0.13676,0,0,2,1,2,0,0,0,0,0,0,0,0,12.018,0,1,NORMAL
7,38,13,0.480243,3,0,0,1,1,0,1,6,0,6,2,4,0,9.05932,7,0,SESSION_ABUSE
